Date,East Coast Production of Gasoline (Thousand Barrels per Day),East Coast Production of Jet Fuel (Thousand Barrels per Day),U.S. Production of Gasoline (Thousand Barrels per Day),U.S. Gasoline Demand (Thousand Barrels per Day),U.S. Production of Jet Fuel (Thousand Barrels per Day)
10/30/2020,2914,22,9072,8336,919
10/23/2020,2986,13,9095,8545,840
10/16/2020,2909,20,8933,8289,782
10/09/2020,3030,20,9240,8576,749
10/02/2020,2864,23,9522,8896,799
09/25/2020,2981,25,8892,8529,870
09/18/2020,2941,15,9315,8515,784
09/11/2020,2934,15,8819,8478,810
09/04/2020,2892,7,8930,8390,668
08/28/2020,3016,12,9534,8786,850
08/21/2020,3003,15,9518,9161,904
08/14/2020,3041,12,9400,8630,1028
08/07/2020,3119,8,9600,8883,939
07/31/2020,2978,19,9300,8617,852
07/24/2020,2957,11,9158,8809,925
07/17/2020,2939,9,9079,8550,866
07/10/2020,2891,11,9095,8648,841
07/03/2020,2939,12,9045,8766,853
06/26/2020,2906,10,8905,8561,743
06/19/2020,2856,10,8794,8608,694
06/12/2020,2707,8,8356,7870,740
06/05/2020,2589,7,8139,7900,619
05/29/2020,2481,8,7779,7549,506
05/22/2020,2431,1,7171,7253,496
05/15/2020,2339,,7166,6790,459
05/08/2020,2279,-1,7497,7398,443
05/01/2020,1997,-11,6705,6664,462
04/24/2020,1972,-5,6735,5860,602
04/17/2020,1782,8,6205,5311,646
04/10/2020,1718,15,5915,5081,715
04/03/2020,1706,29,5818,5065,872
03/27/2020,2085,31,7456,6659,1129
03/20/2020,3066,63,8958,8837,1457
03/13/2020,3256,59,9974,9696,1603
03/06/2020,3239,89,9956,9449,1631
02/28/2020,3156,80,9757,9186,1640
02/21/2020,3167,90,9797,9035,1613
02/14/2020,3242,75,9525,8918,1687
02/07/2020,3085,94,9241,8722,1803
01/31/2020,3195,117,9903,8933,1854
01/24/2020,3072,92,9158,8793,1844
01/17/2020,3063,96,9535,8662,1872
01/10/2020,2999,106,9281,8558,1937
01/03/2020,2844,108,8887,8133,1874
12/27/2019,3148,111,10173,8961,1992
12/20/2019,3325,111,10269,9303,1871
12/13/2019,3233,90,9840,9411,1870
12/06/2019,3066,92,9753,8882,1799
11/29/2019,3188,98,9941,9032,1933
11/22/2019,3296,113,10065,9204,1796
11/15/2019,3264,101,10053,9192,1812
11/08/2019,3379,99,10173,9321,1780
11/01/2019,3212,73,10036,9145,1740
10/25/2019,3264,45,10184,9784,1684
10/18/2019,3238,73,10098,9590,1647
10/11/2019,3262,72,9998,9354,1629
10/04/2019,3249,89,10066,9460,1690
09/27/2019,3278,85,10081,9137,1721
09/20/2019,3322,91,10240,9346,1773
09/13/2019,3092,94,9451,8939,1844
09/06/2019,3300,113,10360,9807,1982
08/30/2019,3412,121,10272,9471,1952
08/23/2019,3348,95,10660,9900,1914
08/16/2019,3409,111,9897,9626,1956
08/09/2019,3397,114,10203,9932,1938
08/02/2019,3341,126,10421,9651,1928
07/26/2019,3385,103,10416,9559,1891
07/19/2019,3374,120,10089,9673,1934
07/12/2019,3241,117,9855,9214,1948
07/05/2019,3333,107,10418,9754,2005
06/28/2019,3372,108,9948,9492,1860
06/21/2019,3342,127,10512,9466,1905
06/14/2019,3306,127,10423,9928,1830
06/07/2019,3371,133,10276,9877,1911
05/31/2019,3314,121,10049,9441,1794
05/24/2019,3440,127,9863,9394,1782
05/17/2019,3374,103,9883,9429,1726
05/10/2019,3406,62,9912,9148,1671
05/03/2019,3233,93,10129,9871,1733
04/26/2019,3300,97,9927,9228,1719
04/19/2019,3293,96,9781,9409,1702
04/12/2019,3346,84,9917,9420,1714
04/05/2019,3271,72,10169,9806,1722
03/29/2019,3286,72,9813,9131,1705
03/22/2019,3291,88,9657,9124,1741
03/15/2019,3279,84,9925,9409,1765
03/08/2019,3261,77,9735,9140,1718
03/01/2019,3106,80,9852,9062,1628
02/22/2019,3109,83,9553,8981,1775
02/15/2019,3132,81,9489,8800,1690
02/08/2019,3124,86,9619,8648,1685
02/01/2019,3188,94,9856,9073,1772
01/25/2019,3094,84,9904,9564,1752
01/18/2019,3124,112,9604,8868,1747
01/11/2019,3132,121,9584,8565,1813
01/04/2019,2919,94,9392,8735,1850
12/28/2018,3069,107,9533,8623,1897
12/21/2018,3332,92,10144,9348,1861
12/14/2018,3285,96,10334,9243,1849
12/07/2018,3289,94,10457,9036,1843
11/30/2018,3206,96,9666,8877,1725
11/23/2018,3253,58,10168,9188,1763
11/16/2018,3232,46,10036,9185,1755
11/09/2018,3250,57,10056,9192,1655
11/02/2018,3191,50,9714,9099,1748
